"bookTitle","cityName"
"Audio: After Dinner Toast at Little Menlo","Man"
"Audio: After Dinner Toast at Little Menlo","Most"
"Audio: After Dinner Toast at Little Menlo","Salt"
"Audio: After Dinner Toast at Little Menlo","Ho"
"Audio: After Dinner Toast at Little Menlo","Un"
"Audio: After Dinner Toast at Little Menlo","Date"
"Audio: After Dinner Toast at Little Menlo","Doma"
"Audio: After Dinner Toast at Little Menlo","Boo"
"Audio: After Dinner Toast at Little Menlo","Bo"
"Audio: After Dinner Toast at Little Menlo","Tak"
"Audio: After Dinner Toast at Little Menlo","Van"
"Audio: After Dinner Toast at Little Menlo","Lice"
"Audio: After Dinner Toast at Little Menlo","Of"
"Audio: After Dinner Toast at Little Menlo","Mission"
"Audio: After Dinner Toast at Little Menlo","Edison"
"Audio: After Dinner Toast at Little Menlo","Roy"
"Audio: After Dinner Toast at Little Menlo","Salt Lake City"
"Audio: After Dinner Toast at Little Menlo","Fairbanks"
"Audio: Go to Sea Once More","Liverpool"
"Audio: Go to Sea Once More","Man"
"Audio: Go to Sea Once More","Most"
"Audio: Go to Sea Once More","Salt"
"Audio: Go to Sea Once More","Liverpool"
"Audio: Go to Sea Once More","Ho"
"Audio: Go to Sea Once More","Un"
"Audio: Go to Sea Once More","Date"
"Audio: Go to Sea Once More","Doma"
"Audio: Go to Sea Once More","Boo"
"Audio: Go to Sea Once More","Bo"
"Audio: Go to Sea Once More","Tak"
"Audio: Go to Sea Once More","Van"
"Audio: Go to Sea Once More","Lice"
"Audio: Go to Sea Once More","Of"
"Audio: Go to Sea Once More","Mission"
"Audio: Go to Sea Once More","Jamaica"
"Audio: Go to Sea Once More","Roy"
"Audio: Go to Sea Once More","Salt Lake City"
"Audio: Go to Sea Once More","Fairbanks"
"Johnny Crow's Garden","Man"
"Johnny Crow's Garden","Most"
"Johnny Crow's Garden","Salt"
"Johnny Crow's Garden","Wa"
"Johnny Crow's Garden","Ho"
"Johnny Crow's Garden","Un"
"Johnny Crow's Garden","Date"
"Johnny Crow's Garden","Doma"
"Johnny Crow's Garden","Goa"
"Johnny Crow's Garden","Boo"
"Johnny Crow's Garden","Bo"
"Johnny Crow's Garden","Van"
"Johnny Crow's Garden","Lice"
"Johnny Crow's Garden","Of"
"Johnny Crow's Garden","Bear"
"Johnny Crow's Garden","Mission"
"Johnny Crow's Garden","Golden"
"Johnny Crow's Garden","Roy"
"Johnny Crow's Garden","Salt Lake City"
"Johnny Crow's Garden","Fairbanks"
"Audio: Nine Hundred Miles","Man"
"Audio: Nine Hundred Miles","Most"
"Audio: Nine Hundred Miles","Salt"
"Audio: Nine Hundred Miles","Ho"
"Audio: Nine Hundred Miles","Un"
"Audio: Nine Hundred Miles","Date"
"Audio: Nine Hundred Miles","Doma"
